Key = key-491, Value = value-4486107052995075165, Score = 2
Key = key-172, Value = value-4526206683186158704, Score = 2
Key = key-290, Value = value-8762298608785935060, Score = 2
Key = key-173, Value = value-1159432852199439778, Score = 2
Key = key-929, Value = value-5784213354825628958, Score = 2
Key = key-171, Value = value-6073664213177400363, Score = 2
Key = key-165, Value = value-8334943984247593450, Score = 2
Key = key-921, Value = value-7726775502336930686, Score = 2
Key = key-292, Value = value-845753124763472206, Score = 2
Key = key-286, Value = value-305163441085421274, Score = 2
Key = key-97, Value = value-2600920775321835359, Score = 2
Key = key-926, Value = value-1560014188596115381, Score = 2
Key = key-284, Value = value-7217363790533998813, Score = 2
Key = key-99, Value = value-4747998525856600570, Score = 2
Key = key-924, Value = value-4827112324724756160, Score = 2
Key = key-94, Value = value-4897179297186976309, Score = 2
Key = key-93, Value = value-3588989215970574861, Score = 2
Key = key-939, Value = value-1163068422851424634, Score = 2
Key = key-95, Value = value-7741728434013128117, Score = 2
Key = key-932, Value = value-174264331318110859, Score = 2
Key = key-298, Value = value-8434695296962203539, Score = 2
Key = key-930, Value = value-2382554276698061342, Score = 2
Key = key-92, Value = value-8013770838796937018, Score = 2
Key = key-296, Value = value-930835806341155387, Score = 2
Key = key-91, Value = value-6998225774686462260, Score = 2
Key = key-299, Value = value-4324847306827264842, Score = 2
Key = key-937, Value = value-5687487262460834322, Score = 2
Key = key-271, Value = value-3339005262310982192, Score = 2
Key = key-183, Value = value-6728133504112213871, Score = 2
Key = key-272, Value = value-839048733669478887, Score = 2
Key = key-184, Value = value-2250641997999041200, Score = 2
Key = key-181, Value = value-4172862549447607296, Score = 2
Key = key-264, Value = value-2990099592110833562, Score = 2
Key = key-908, Value = value-1886504024487879327, Score = 2
Key = key-262, Value = value-867250258193599722, Score = 2
Key = key-263, Value = value-5830388442877259774, Score = 2
Key = key-174, Value = value-548064413312753596, Score = 2
Key = key-268, Value = value-3632648300082493911, Score = 2
Key = key-900, Value = value-4661510420690870446, Score = 2
Key = key-175, Value = value-368371445272717236, Score = 2
Key = key-269, Value = value-307991323847887231, Score = 2
Key = key-903, Value = value-6546612750225644709, Score = 2
Key = key-904, Value = value-2738996831021463143, Score = 2
Key = key-267, Value = value-972483814026151189, Score = 2
Key = key-901, Value = value-5517291399142386653, Score = 2
Key = key-902, Value = value-193511991403841879, Score = 2
Key = key-393, Value = value-679132518392031339, Score = 2
Key = key-918, Value = value-1400902613064133246, Score = 2
Key = key-919, Value = value-6641963705063729485, Score = 2
Key = key-916, Value = value-712462360064351923, Score = 2
Key = key-917, Value = value-8867358279170565531, Score = 2
Key = key-281, Value = value-3531083803369847193, Score = 2
Key = key-391, Value = value-6411711671119458514, Score = 2
Key = key-76, Value = value-8850275668890127787, Score = 2
Key = key-910, Value = value-8867406262086134387, Score = 2
Key = key-911, Value = value-3141900469356992819, Score = 2
Key = key-385, Value = value-2400722666140580260, Score = 2
Key = key-275, Value = value-6689885657210054978, Score = 2
Key = key-914, Value = value-6531546684586716365, Score = 2
Key = key-276, Value = value-8431447736458156987, Score = 2
Key = key-915, Value = value-7067567181520706690, Score = 2
Key = key-273, Value = value-5541438615366657140, Score = 2
Key = key-274, Value = value-3413642249224539268, Score = 2
Key = key-277, Value = value-5634564350825975764, Score = 2
Key = key-370, Value = value-4755164408320943497, Score = 2
Key = key-121, Value = value-4263625358838219535, Score = 2
Key = key-608, Value = value-5648994782907474252, Score = 2
Key = key-609, Value = value-8059498039490248864, Score = 2
Key = key-122, Value = value-6321798804338650135, Score = 2
Key = key-144, Value = value-8756084441966843250, Score = 2
Key = key-364, Value = value-3704030188031647027, Score = 2
Key = key-75, Value = value-1639933648696272407, Score = 2
Key = key-362, Value = value-5510144916771584364, Score = 2
Key = key-141, Value = value-8476677650145086018, Score = 2
Key = key-78, Value = value-8215111355641446150, Score = 2
Key = key-383, Value = value-9197855924846592189, Score = 2
Key = key-77, Value = value-2363035458552263855, Score = 2
Key = key-365, Value = value-8049402988336081343, Score = 2
Key = key-72, Value = value-658127811217562511, Score = 2
Key = key-366, Value = value-8365602380543476586, Score = 2
Key = key-124, Value = value-3967401563197809254, Score = 2
Key = key-129, Value = value-4784575355182180685, Score = 2
Key = key-382, Value = value-6223947121807628771, Score = 2
Key = key-840, Value = value-2175042258669862154, Score = 2
Key = key-841, Value = value-7154582062206762710, Score = 2
Key = key-602, Value = value-8384569809686300911, Score = 2
Key = key-133, Value = value-7976081360225390467, Score = 2
Key = key-844, Value = value-6191725514553530234, Score = 2
Key = key-375, Value = value-2449730967976798007, Score = 2
